NOME,lat,lon,UNIDADE,CONTATO,TELEFONE,ENDERECO,colors
IFSP BRAGANÇA PAULISTA,-22.9486697,-46.558679999999995,Instituto Federal,bra.ifsp.edu.br,4034-7800,Av. Maj. Fernando Valle - 2013 - 12903-000 - São Miguel,red
IFSP / AMARAIS - CAMPUS CAMPINAS,-22.8521063,-47.1273162,Instituto Federal,www.cmp.ifsp.edu.br,19 3746-6128,CTI Renato Archer - Av. Comendador Aladino Selmi - s/n - 13069-901 - Amarais,red
IFSP CAMPUS CAMPOS DO JORDÃO,-22.7428497,-45.5924143,Instituto Federal,www.ifspcjo.edu.br,12 3668-9620,Rua Monsenhor José Vita - 280 - 12460-000 - Abernéssia,red
IFSP CAPIVARI,-22.9766924,-47.473319000000004,Instituto Federal,www.ifspcapivari.com.br,19 2146-6700,Avenida Doutor Ênio Pires de Camargo - 2971 - 13360-000 - São João Batista,red
IFSP CARAGUATATUBA,-23.636885,-45.425909000000004,Instituto Federal,www.ifspcaraguatatuba.edu.br,12 3885-2130,Av. Bahia - 1739 - 11665-071 - Indaiá,red
IFSP CATANDUVA,-21.146911,-48.9462636,Instituto Federal,ctd.ifsp.edu.br,17 3524-9710,Av. Pastor José Dutra de Moraes - 239 - 15808-305 - Distrito Industrial,red
IFSP CUBATÃO,-23.9283997,-46.4123488,Instituto Federal,www.federalcubatao.com.br,13 3346-5300,R. Maria Cristina - 50 - 11533-160 - Casqueiro,red
IFSP GUARULHOS,-23.4392016,-46.5374154,Instituto Federal,www.ifspguarulhos.edu.br,11 2304-4250,"Av. Salgado Filho - 3501 - 07115-000 - Centro, Guarulhos",red
IFSP HORTOLÂNDIA,-22.8511083,-47.2310911,Instituto Federal,hto.ifsp.edu.br,19 3865-8070,Av. Thereza Ana Cecon Breda - S/N - 13183-250 - Vila Sao Pedro,red
IFSP ILHA SOLTEIRA,-20.4209035,-51.333251700000005,Instituto Federal,ist.ifsp.edu.br,18 3748-8300,Alameda Tucuruí - 164 - 15385-000 - Ilha Solteira,red
IFSP ITAPETININGA,-23.5938174,-48.0185491,Instituto Federal,www.ifsp.edu.br,15 3376-9930,Av. João Olímpio de Oliveira - 1561 - 18202-000 - Vila Asem,red
IFSP  ITAQUAQUECETUBA,-23.485333899999997,-46.34239829999999,Instituto Federal,itq.ifsp.edu.br,11 98614-1607,R. Primeiro de Maio - 500 - 08571-050 - Estação,red
IFSP JACAREÍ,-23.3170848,-45.9836499,Instituto Federal,jcr.ifsp.edu.br,12 2128-5200,R. Antônio Fogaça de Almeida - 200 - 12322-030 - Jardim America,red
IFSP JUNDIAÍ,-23.1920984,-46.8776417,Instituto Federal,jnd.ifsp.edu.br,11 2448-8500,Av. Dr. Cavalcanti - 396 - 13215-010 - Centro,red
IFSP MATÃO,-21.624281,-48.3480814,Instituto Federal,mto.ifsp.edu.br,16 3506-0700,R. Estéfano D'avassi - 625 - 15991-502 - Nova Cidade,red
IFSP PIRACICABA,-22.6935704,-47.6252509,Instituto Federal,prc.ifsp.edu.br,19 3412-2700,Rua Diácono Jair de Oliveira - 1005 - 13414-155 - Santa Rosa,red
